Key	Value
击败模式	Defeat mode
无法选择该秘籍	Cannot select this manual.
更新用户存档	Update User Save
我们完成了{0}的任务，他们的长老表示感谢，并欠了我们人情。\n获得了{0}的{1}点人情，以及{2}点好感度。	We completed a task for {0}. Their elder expressed their gratitude and became more connected with us.\nObtained {1} connection and {2} favor with {0}
恰当	Normal
请先完成教学--序章!	Please complete the tutorial - Prologue first!
垂钓仙	Fisher Immortal
请选择	Choose
满神民	Maximize Divine Residents
防御	Defense
平淡	Dull
重量：不值一提	Weight: Almost None
拜祖师	Worshipping ancestors
探索中	Exploring
\n分类需求:	\nRequires:
选择一个法宝，将其归入阵法之中。	Select an artifact and add it into the formation.
{0}在虚空历练时，巧遇应天台凝结灵气，与{1}经过一番苦斗后惜败，未能夺得灵石。	{0} was training in void and meet Heaven Echo Altar crystallizing, fought with {1} but failed and could not win spirit stones.
红尘众生	Mortals and Immortals
需要进入游戏后使用	Can only be used after entering the game
符纸	Talisman Paper
正一脸不痛快的吃饭	Eating unhappily
影响角色之间互动事件发生的概率，招募角色的概率等。	Mempengaruhi peluang terpicunya peristiwa selama interaksi antara karakter dan peluang perekrutan karakter baru.
余{0}天	{0} days
拆除:{0}	Demolish: {0}
研习	Study
 坐了下来	 Sitting Down
位于床第蒲团之侧	and Located next to a Cushion or Bed
治疗	Healing
食用了{0}	Consumed {0}
[color=#FF0000](无提升)[/color]	[color=#FF0000](No improvement)[/color]
什么也不给	None
[color=#bf642f]分堂掌管压力：{0}[/color]\n{1}	[color=#bf642f]Branch Management Pressure: {0}[/color]\n{1}
待机	Wait
略有风险	Risky
似乎没有什么特殊的事情发生	Nothing special seems to happen.
创建文件失败	Failed to create document.
秘宝需要认主后才可以被装备	A Legacy Artifact can only be equipped after being claimed.
登录信息过期,即将退出游戏!	Login information expired, exiting the game soon!
抱歉，该存档已经不再被支持。但你可以返回主界面以它为基础轮回新的世界。\n(也可以通过切换游戏分支为0.94使用老版本继续游戏)\n	Sorry, this save is no longer supported, but you can return to the main menu and reincarnate in a new world based on its data.\n(Or you can change to game version 0.94 to continue playing.)\n
该热键已被系统锁定	This hotkey has been locked by the system.
减少	reduced
投票失败！	Failed to cast vote!
隐秘的“真相”往往不止一个，不同的线索和参与者可能会得到不一样故事。\n[color=#ff0000]一旦解密将不可逆转，请谨慎选择。[/color]\n确定要使用当前的选择进行推导吗？	There may not be only one hidden truth to each Mystery. Different clues and participants may lead to a different story. \n[color=#ff0000]Once the mystery is solved, it will be irreversible. Please think twice.[/color] \nDo you want to use the selection for deduction?
记忆({0}/{1})	Memories ({0}/{1})
接受	Accept
江湖再见	See you
正在觉醒灵智	Awakening Intelligence
神性加成	Divinity Bonus
更换当前季节	Alter current season
{0}\n享年{1:N0}岁\n死因:{2}	{0}\nDied at the age of {1:N0}\nCause of death: {2}
画符	Draw
(被收获)	(Being Harvested)
成功条件	Success Conditions
确定要离开此地吗？	Do you want to leave this place?
修改蓝图信息	Modify blueprint information
攻击速度：{0:N2}次/秒\n	Attack Speed: {0:N2}/sec\n
前置条件：{0}\n	Prerequisites: {0}\n
丢下这个物品吗？	Do you want to discard this item?
请选择要吞噬的道具	Select an item to devour.
<font color=#D06508>[秘籍·{0}]</font>\n	<font color=#D06508>[Secret Manual - {0}]</font>\n
未选择金仙挑战	Immortal challenges not select
秘宝	Treasure
难度配置已导出至{0}	Difficulty Configuration Exported to {0}
七	Seven
丢失核心	Lost Core
经典模式	Classic
{0}正在觉醒灵智，无法思考。	{0} is awakening intelligence, unable to Think.
房间最小面积为4，最大面积为400	The smallest size of a room is 4. The largest is 400.
吞噬	Devour
自动存档	Autosave
不能识别维度值，请检查taptap后台跟版本控制相关设置!	Cannot recognize dimension value. Please check the version control related settings in the TapTap backend!
{0}收获了一条{1}	{0} caught a {1}.
在练习护体之时，正觉得十分痛苦	Undertaking protection training; finds it extremely dreary
尚未解锁!	Locked!
被替换	was replaced.
苦行境	Ascetic State
来自:[{0}]	From: [{0}]
\n等待激活	\nWaiting for activation
影响种植作物速度，收获作物产量等。	Mempengaruhi laju pertumbuhan tanaman dan hasil panennya.
获取书架：{0}，存储空间：{1} DaoHang	Obtain Shelf: {0}, Storage Space: {1} DaoHang
之法	Law
影响烹饪速度，烹饪成功率等。	Mempengaruhi kecepatan dan tingkat keberhasilan saat memasak.
光线适宜	Sunlit
等建筑蓝图	Waiting for blueprints
功法	Law
前往激活	Go to enable
生成河流	Generating bodies of water
灵气:{0}	Qi: {0}
施法	Cast
炼丹	Alchemy
让精怪吞食一个物品。	Let the Sentient Spirit devour an item.
读取	Load
未拉取到投票信息	Vote info not acquired.
提升一个内门弟子的境界	Improve an inner disciple's State.
通行权	Access
{0}\n(面积:{1}x{2})	{0}\n(Size:{1}x{2})
{0}获得淬体之法：[{1}]\n{2}	{0} acquired Remold Spell: [{1}]\n{2}
在修行时略有所得，正略感欣喜	Learning something from the meditation; feels happy
添加前置模组	Add the required mod
{0}引荐了几个弟子	{0} recommended some disciples.
{0:N0}天	{0:N0} d
\r\n[内容]	\r\n[Content]
岁月	Years
突破进度：{0:P2}({1:N1}/{2:N1})\n{3}	Breakthrough Progress: {0:P2}({1:N1}/{2:N1})\n{3}
藏经阁所能容纳的秘籍。秘籍越深奥，录入占用的容量就越多。\n\n当前藏书量为派中弟子提供:\n降低参悟消耗{0}% 	The Manual Pavilion's ability to contain manuals. A more difficult manual will take up more space after being transcribed. \n\nThe current manual capacity is provided by the sect disciples: \nLowers inspiration cost by {0}% 
魅力	CHA
玄穹录	Immortals
祭祀	Rites
{0}心防瓦解(软弱)	{0} has opened up (weak).
任意	Any
被享乐之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时贪图享乐而倍加惜命，因此御器技能，术法技能降低2级，护体技能突破极限3级。	Becomes hedonistic. Practice efficiency, learning speed and mental state are drastically reduced. In the state, the character will be too hedonistic to risk dying. Lowers 2 levels of Artifact Mastery and Spell, and breakthroughs 3 levels of Protection.
术法与法宝	Spells & Artifacts
玉	Yu
点我复制第{0}个	Click me to copy No. {0}.
刚完成一个建筑，准备休息一下	Just finished constructing a building; going to get some rest
\n[align=center][color=#FFFF66]----已参悟----[/color][/align]	\n[align=center][color=#FFFF66]----Learned----[/color][/align]
灵	Spirit
2倍速\n[keycode]SpeedP[/keycode]  降低速度\n[keycode]SpeedN[/keycode]  提升速度	2x Speed\n[keycode]SpeedP[/keycode] Lower Speed\n[keycode]SpeedN[/keycode] Raise Speed
{1:F0}\n{0}对玩家门派的好感度，好感度会影响可以进行的行为和得到的回答。\n在未打开心防时好感度最高为60，讨论对方的嗜好可以瓦解心防。	{1:F0}\n{0}'s favor to your sect. Their favor will affect available actions and the answer you get from them. \nThe maximum favor is 60 before the character opens up. Talk about their hobbies can help them to open up.
{0}获得称号 [{1}]	{0} obtained title [{1}]
召唤灵宠	Summon Pet
玄学	Metaphysics
该物品没有灵气	This item has no Qi.
（效果已存在）	(Effect already exists)
关	Off
使用	Use
{1}季\n剩余{0}天	{1}\n{0} day(s) remaining.
[color=#9e6404]相关工作：[/color]\n祭祀\n搬人上床\n搬运燃料\n埋葬\n搬运角色\n挑水\n搬运物品\n搬运生产原料\n打扫地面	[color=#9e6404]Related work:[/color]\nRites\nMoving people to beds\nCarrying fuel\nBurying people\nTransporting characters\nCarrying water\nTransporting items\nTransporting raw material.\nSweeping floors
\n参悟不足：{0:F0}/{1:F0}	\nToo low Inspiration {0:F0}/{1:F0}
正在一脸期待的挖矿中	Mining with great anticipation
正大口朵颐	Wolfing down food
厨艺	Cooking
上的	Atop
无限循环	Loop Endlessly
娱乐	Leisure
雷击	Thunder rains down across the world
非常抱歉！存档校验失败,请不要使用非手机端的存档\n如果需要支持或者报告问题，请发送邮件至:\nQA@GSQStudio.com。	Sorry! Save checking failed. Please do not use non mobile phone version saves.\nIf you want to support or report, please email to us:\nGSQ@GSQStudio.com
五行匹配	Element
文烟	Wenyan
制定归属，如果对象是床也会改变房间所有者。	Assign ownership. If the target is a bed, the owner of the room will also change.
(访客)	(Visitor)
精怪 · 	Sentient Spirit - 
练习秘法完毕，正感觉十分疲惫	Finished practicing secret Law; feels very tired
天道异动	Heavenly Chaos
<font color=#888888>(房间外无效)</font>	<font color=#888888>(Invalid Outside)</font>
傀·	Puppet:
竞拍品:[{0}]	Auction Item: [{0}]
开启	Enable
在掌门附近，发布一个寒晶鼎的建造命令。	Order the construction of an Ice Crystal Cauldron next to the sect leader.
[color=#bf642f]掌管能力：{3}[/color]\n魅力加成：{0}\n处世加成：{1}\n境界加成：{2}\n	[color=#bf642f]Management Ability: {3}[/color]\nCharisma Bonus: {0}\nSocial Bonus: {1}\nState Bonus: {2}\n
金丹	Golden Core
竹子	Bamboo
不合	incompatible
影响采掘速度，采掘产量等。	Mempengaruhi kecepatan dan hasil penambangan.
蓝图中存在未解锁建筑!	Locked building(s) in the blueprint!
不贴墙	and Not touching any walls
已录入	Transcribed
已有效果({0}/{1})	Available Effects({0}/{1})
糟糕	Poor
美轮美奂	Magnificent
此门派已经闭关戒严，暂时无法进入。	This sect has been closed off to the public. Currently inaccessible.
灵契	Spirit contract
获得新的线索：\n[align=center][color=#306BC7]{0}[/color][/align]	New clue obtained: \n[align=center][color=#306BC7]{0}[/color][/align]
灭火	Putting Out Fire
上传中，请耐心等待...	Uploading, please be patient…
正准备娱乐一下放松放松	Going to have some fun and relax
{0}({1}岁)	{0} ({1} years old)
极致	Extreme
寻求门派的求援	Ask for help from the sect
建造炼宝台，并完成一次法宝炼制。	Build a crafting table and craft an artifact.
绘制符咒的张数	Number of talismans you have drawn.
脱离战斗并尝试逃跑	Leave the fight and attempt to flee.
只有道行精深的修行者（300以上），才能将修炼的感悟寄托于装备。	Only a cultivator with a high attainment (300 and higher) can attach the cultivation epiphany to their equipment.
前往	Go to
玩家可通过点击该按钮查看任务的相关提示	Players can check request tips by pressing this button.
全部折叠	Fold all
坐西朝东	Facing East
持续时间：{0:N2}天\n	Duration: {0:N2}d\n
上传存档:{0}结果为:{1}	Uploading Save File: {0} Result: {1}
失败结果	Failure Results
{0}\n类型：{1}\n致命部位：{2}\n\n影响：{3}	{0}\nType: {1}\nLethality: {2}\n\nAffects: {3}
御丹	Core
{0}\n[color=#990000](这是一个需要进入地图完成的秘闻)[/color]	{0}\n[color=#990000](This is a Secret that can only be completed by entering the map)[/color]
[color=#FF0000]下载失败[/color]	[color=#FF0000]Failed to download[/color]
天劫洗练：{0}次\n	Heavenly Reforge: {0}\n
存档失败！请检查存档文件是否正常，或者另存为新存档！	Save failed! Please check if the save file is intact, or save as a new file!
完成秘闻太一石匣（秘闻触发后，通过历练，前往南屏村完成。）	Complete Secret: Taiyi Stone Box. Once you have triggered the event, go to Nanping Village through Adventure to complete the task.
摧毁	Destruction
感觉这些动机不太能认定他们跟此事的关系，或是想得太多了？\n	Feels like these motives cannot prove their involvement in this incident, or maybe you're overthinking it?\n
警告	Warning
领取失败,请稍后再试!	Claim Failed, try again later!
符箓绘制	Drawing Talismans
蕴养等级:{0}	Nurturing Level: {0}
绘制符咒：{0}张	Talismans Drawn: {0}
混元属性	Hybrid Element
太真宝典: {0} 已完成	True Tao Volume: {0} Fullfilled
指定归属	Assign
激活条件:{0}之灵器({1}/{2})\n	Activation Requirements: {0}'s spiritual artifacts ({1}/{2})\n
\n距离下次拍卖会还剩{0}天	\n{0} days until the next auction.
刚完成手工作业，准备收拾手工桌	Just finished doing handcraft; about to clean up the desk
剩余时间:{0}天{1}时{2}分{3}秒	Remaining Days: {0}d {1}h {2}min {3}sec
请选择一个物品或者实体	Select an item or a tangible entity.
门派传闻	Sect Rumor
存档校验失败,可能是由于您错误的使用了不属于您的存档	Save checking failed. It is probably because you have used other's saves.
建造	Construction
CloudSave->压缩完成:{0}	CloudSave->Compression Complete: {0}
对话数据	Dialogues
{1}:{2:F2}\n(先天:{3:F2} 后天:{4:F2})\n{0}	{1}:{2:F2}\n (Innate: {3:F2}, Postnatal: {4:F2})\n{0}
植物成长值减少	Reduce Plant Growth
{0}次	{0} times
设置交互。	Set interaction.
存档	Save
加载资源	Loading resources
木头	Wood
非常抱歉！存档失败。\n愤怒的您可能会责怪开发团队，您的确有理由这样做，这本不应该发生。\n我们非常抱歉！请尝试再次存档或者读取旧的存档。\n如果需要支持或者报告问题，请发送邮件至:\nQA@GSQStudio.com。	We're terribly sorry but your game failed to save.\nYou might want to rage and blame us developers at the moment, and we understand you as this shouldn't have happened.\nSorry! Please try to save again or load an old save.\nIf you need help or wish to report an issue, please contact us at QA@GSQStudio.com.
蓝布	Blue Fabric
阵枢：	Pillar:
消耗	Consumables
采取处世手段解决问题，某些时候可以收获吸引力或影响值。	Using social skills to solve problems sometimes can gain appeal or influence.
无需	None
确认领取仓库所有储存？\n{0}	Do you want to claim all items in the storage?\n{0}
紫布	Purple Fabric
请选择一个角色	Select a character.
随机生成一个符咒	Generate a random talisman.
{0}之墓	{0}'s Tomb
工作计划是外门的核心策略模块，规定了外门弟子的工作优先级和重心。\n工作优先级越往右越低，可以进行高优先级工作时不会进行低优先级工作。\n[color=#9e6404][特别优先]可以将一个工作优先级提高到所有工作之上[/color]。	Work schedule is a core strategic function in which you can establish a set of priorities for outer disciples.\nThe priorities are listed from left to right. A task with a lower priority will only be done if there are no other performable tasks of higher priority.\n[color=#9e6404][Top Priority] allows a task to take precedence over all other tasks[/color].
屠宰	Butchering
欲寂中求圣，必须达神国境后，在克己状态下保持心境300，神性大于20，持续{0:N1}天。角色悟性越高，需要持续的时间越长。	To seek a 'sacred' mind, keep the mental state at 300 and divinity higher than 20 during self-restraining after reaching the Divine State for {0:N1} days. The greater the character's intelligence, the longer it takes to achieve the mental state.
真炁消耗: {0:F2}/秒	True Qi Consumption: {0:F2}/sec
不知道，但是我敢肯定，一定不是因为师兄你……	I don't know, but I'm pretty sure that it's not because of you.
结丹期	Core Shaping
门	School
正在前往{0}	Going to {0}
外观美化	Graphics
狗	Dog
已合练	Combined
心绪对神国面积的影响。	The effect of the distress on the size of the Divine Realm.
特殊	Special
正在加载，请耐心等待！	Loading now, please wait!
(着迷)	(Obsessed)
攻击该角色。	Attack the character.
击杀模式	Kill mode
金属性伤害减免	Metal Damage Reduction
遇到瓶颈	reached a limit.
[temperature]{0:N0}[/temperature]至[temperature]{1:N0}[/temperature]	[temperature]{0:N0}[/temperature] to [temperature]{1:N0}[/temperature]
重建	Rebuild
当前阵图仍有阵眼，无法删除阵枢	The plan still has auxiliaries. Unable to remove the pillar.
\n\n[color=#9e6404]不能共存：[/color]	\n\n[color=#9e6404]Cannot coexist:[/color]
 缺少认知\n	 Lack Realization\n
拾取该道具。	Pick up the item.
政策	Policy
随机目标	Random Target
神通	Miracle
{0}→[color=#009900]{1}(相生)[/color]	{0}→[color=#009900]{1} (Connective)[/color]
门派名	Sect Name
[color=#008800](正常)[/color]	[color=#008800](Normal)[/color]
当前存档有更新的进度，是否仍然选择当前进度进行游戏？	The current save has newer progress available. Do you still want to proceed with the current progress?
使用者目前并未登入 Steam	User is not logged on to Steam.
<font color=#D06508>[法宝]</font>\n	<font color=#D06508>[Artifact]</font>\n
[旁门心得]	[Unorthodox Manual]
神秘	Mystery
正在同步	Syncing
在拆迁建筑时，正快乐的哼着小调	Demolishing buildings while humming a cheerful tune
通灵中...\n	Illuminating...\n
\n并无其他特异之处	\nhas nothing particularly special.
练习御剑完毕，正觉得畅快淋漓	Has completed sword mastery training; feeling very good about it
\n信仰：{0:N0}({1:N0})	\nBeliefs: {0:N0}({1:N0})
{0} 缺少产出建筑无法保存	{0} does not have output buildings, unable to save.
未获得通行权	Inaccessible
刚结束今天的御剑功课	Just finished today's sword mastery training
正在感悟天地	Deep in though
房间	Room
满	Bursting
网络状态异常,请稍后再试	Network status is abnormal, please try again later
{0}发生灾难：{1}	Disaster in {0}: {1}
突破时无法使用道具	Items unavailable during breakthrough.
图鉴进度：{0}/{1}	Encyclopedia Progress: {0}/{1}
炼化同源之物，以增强自身实力。	Refine objects of the same origin to enhance their own power.
致命绝境	Deadly
需要选择一个阴效果！	Need to choose a Yin effect!
瓶颈突破成功	Breakthrough successfully
存档正在进行，无法读档，请稍候...\n	Saving in progress, unable to load game. Please wait...\n
将物品移动到指定位置。	Move item to designated location.
[本地蓝图]\n	[Local Blueprint]\n
百分比	Percentage
{0}品金丹	Tier {0} Golden Core
无数次	Numerous times
陵	Mausoleum
高级秘籍	Advanced Manual
角色会将该道具搬运至交易区。	The character will move the item to the trade area.
显示名字不能为空	Display Name cannot be empty.
施放	Fire
  取消下载	  Cancel Downloading
修为	Experience
额外灵气:{0:N0}	Extra Lingqi: {0:N0}
(正常工作)	(Operational)
八	Eight
成长期	Learning Stage
高级夺舍方式，完全夺取一个无修为活物的身体，无负面作用。	A potent way of possessing. Completely possesses a living body with no spiritual power. No negative effect.
一张随意为之但充满想象力的符咒，不知道会有什么神奇的效果。	A symbolic talisman brimming with imagination. I wonder what marvelous effects it contains.
美	Beauti
(成熟中)	(Maturing)
听说二师兄昨日已经回山，此番历练又有奇遇……竟然寻得一块星髓，真让人眼红。	My fellow disciple returned yesterday with yet another marvelous adventure to retell. Hear now, he even found a piece of lumina core! I'm so jealous!
正在拉取文件	Pulling Files
筑工	Builder
倒地	Flopped
[color=#ff0000]已达到道行上限[color]\n{0}	[color=#ff0000]Attainment cap reached.[color]\n{0}
请输入名称!	Please Enter Name!
版筑	Construction
[color=#008800]（已完成）[/color]	[color=#008800] (Completed)[/color]
[妖形态]\n变身成妖形态	[Yaoguai]\nShift to yaoguai form
此地	Here
此经历不可改变。	This background cannot be edited.
{0}[color=#9e6404][完美][/color]	{0}[color=#9e6404][Perfect][/color]
删除成功	Deleted.
特殊物品	Special
当前没有事件发生	No event happening.
正在准备工具，去执行缝纫作业	Preparing sewing tools
在工作之时，正累的气喘吁吁	Working; panting for breath
生产数量	Yield
运气不错，钓到了一条极为珍稀的{0}	How lucky! Caught an extremely rare {0}.
 再见,{0}!\n	 Goodbye, {0}!\n
在搬运间余，刚小憩片刻	Transporting goods; taking a break
珀	Soul Gem
该物品不能用于炼制	This item cannot be refined.
通过输入指定字段生成秘籍	Enter specific field to generate manual.
盈	Full
取消入驻	Cancel Assigning
物品[劫灰]数量不足!	Item [Tribulation Ashe] insufficient!
灵性隐隐	Minor Blessing
焚香祈愿，准备开始炼制法宝	Burns incense and prays; prepares to craft artifacts
正在乐呵呵的砍柴中	Happily splitting firewood
你失去了{0}\n你获得了{1}点人情	You lost {0}.\nYou gained {1} Connection.
[color=#FF0000]无阵枢[/color]	[color=#FF0000]No Pillar[/color]
在太极天道的影响下，本次随机的范围变得更广了	Under the influence of Tai Ji Heavenly Dao, the range of this random event has expanded
文中含有特殊字符，请斟酌后重书。	The text contains special characters, please rewrite at your discretion.
<font color=#D06508>[秘宝]</font>\n	<font color=#D06508>[Legacy Artifact]</font>\n
正在复制第{0}个文件\n{1}	Copy file {1} No. {0}
只有术法登峰造极之时才能凝练出术法元灵,指定元灵的术法会在战斗时自动释放	Primordial Souls can only be created when one's spell power reaches the highest level. The spell of selecting Primordial Souls will be automatically released during battle.
[color=#FF0000]模组商店获取失败[/color]	[color=#FF0000]Failed[/color]
可选：{0}/{1}	Selectable: {0}/{1}
战斗	Battle
系统设置	Settings
{0} 下载失败，请检查网络连接是否稳定，同时移至Steam下载界面恢复下载	{0} Download failed. Verify that your Internet connection is stable and navigate to Steam's download menu to resume the download.
系统互动按钮	System Interactive Buttons
尚有角色处于隐匿状态	Hidden character(s)
{0}\n{1}\n入住天数：{3}\n信仰程度：{4}{2:N0}%{5}\n{6}	{0}\n{1}\nResidency Duration: {3}\nExtent of Belief: {4}{2:N0}% {5}\n{6}
\n[align=center][color=#CCCCCC]----未参悟----[/color][/align]	\n[align=center][color=#CCCCCC]----To be learned----[/color][/align]
外观数量：{0}	Appearance Quantity: {0}
{0}发布了一个任务。	{0} issued a task.
宝物	Treasure
缝制	Sewing
重载SkillTree	Reload SkillTree
保存成功	Saved.
在工作时，突然走神	Working; daydreaming
卯时,日出时分,破晓时分,日始时分,清晨初雾,晨光初露	It is about 5:00–7:00, the cocks crow heralding a new day
不选择任何政策	No Policy
{0}释放的{1}	{0} released {1}
运转阵法	Operate Formation
灵气:{0:N0}/{1:N0}\n灵宠的灵气在战斗中回复比较缓慢。当灵气为空时灵兽将会死亡，建立对应雕像可以使其重生。\n角色会从环境中吸取灵气	Qi:{0:N0}/{1:N0}\nPet's Qi slowly replenishes in battle. Once Qi is exhausted, the pet will die. You can build the corresponding statue to revive it.\nCharacter absorbs Qi from the environment.
俊	some
混元期	Chaos Phase
与{0}的好感度为：{1}\n\n{2}	{0}'s favor is: {1}\n\n{2}
删除此单位。	Delete this unit.
进食	Eating
蓝图中无可造建筑	No available Buildings in this Blueprint.
CloudSave->开始拉取云存档:{0}	CloudSave->Start Fetching Cloud Save: {0}
代理人	Agent
极其利于	Extremely Beneficial
获得成功{0}({1:N0})次（炼丹，炼器，突破，击败相同或更高境界的敌人）	Succeeds {0} ({1:N0}) times (During alchemy, artifact crafting, breakthrough, and battles against enemies in the same or a higher state)
最近	Recent
练习术法	Practice Spell
<font color=#D06508>[地区属性]</font>\n	<font color=#D06508>[Area Stats]</font>\n
身体强度：炼体者身躯的综合强度，决定炼体者承受伤害的能力。	Physical Strength: the comprehensive strength a physical cultivator's body, which determines the ability to bear damage.
秘闻	Secret
讲道	Give Lecture
没有可用神通	No miracles available
在移除工作之时，正在胡思乱想	Removing something; distracted by thoughts
话外别传存储失败:{0}	Failed to save the Character Epilogue: {0}
被悲悯之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时心怀悲悯而心态优越，因此御器技能，术法技能，护体技能均突破极限1级。	Becomes Sympathetic. Practice efficiency, learning speed and mental state are drastically reduced. In the state, the character will become very Sympathetic, thus gaining the confidence to fight. Breakthroughs 1 level of Artifact Crafting, Spell and Protection.
食物	Food
{0}\n[color=#9e6404]不能共存：[/color]	{0}\n[color=#9e6404]Cannot coexist:[/color]
一只野生的{0}！！！	A wild {0}!
伪造的	Fake
禁用这个物品,小人不会对其发起主动交互。	Ban the use of this item. Characters will not interact with it on their own.
上传成功！大约需要10分钟的时间才会在模组订阅面板中出现\n请勿修改并妥善保管当前上传模组文件下的Info文件，用于更新该模组	Uploaded! Your mod will be viewable in the mod subscription menu in about 10 minutes.\nPlease do not modify the .info file of the uploaded mod and keep it for future update of this mod.
等候命令	Waiting for order
秘法玄章	Secret Volumes
游戏时长	Time Played
选择地点	Select a location.
养殖区	Pasture
内门弟子：{0}	Inner disciples: {0}
选择功法	Choose Law
根骨	CON
楼	Pagoda
此物品对方根本不需要，毫无价值。	This item is worth nothing to the other person.
分享字符串错误，无法使用	An error occurred in the share string. Unable to use.
幽淬次数：{0}次\n	Specter Refinements: {0}\n
[color=#306BC7]获得了新的修炼功法：{0}[/color]	[color=#306BC7]New Law Training Obtained:{0}[/color]
刚完成一件锻造作品，准备休息一下	Just finished forging an item; going to get some rest
修仙之始	Cultivation Begins
没有更改内容	Nothing changed.
木属性伤害减免}	Wood Damage Reduction}
\n[color=#9e6404]前置条件：[/color]	\n[color=#9e6404]Prerequisites:[/color]
{1}\n{0:N0}岁\n{2}	{1}\n{0:N0} y/o\n{2}
神道修行无法使用灵器\n	Spiritual artifacts are unavailable for the Law of Shendao.\n
通灵的	Illuminated
矿石	Ore
请选择一个物品	Select an item.
不朽金身	Immortal Body
处世	Social
{0}心防无法瓦解(坚韧)	{0} has not opened up (tough).
物品[灵珀]数量不足!	Item [Spirit Soul Gem] insufficient!
夺取物品	Take Item
解锁了以下建筑：\n	The following building(s) unlocked: \n
幻影	Phantom
登录状态过期，即将退出游戏	Login status expired, exiting the game soon
元神期的修行者可以以自身的元神分神为载体，将自己对修行的体会寄托于装备之上。	A cultivator with the primordial spirit can use a sub-spirit as the carrier to attach their understanding of cultivation to their equipment.
房间内生效，受房间尺寸影响。	Effective in rooms. Affected by the size of the room.
皮肉	Flesh
设置堂主	Leader
劫云灵气	Tribulation Qi
擦了擦汗，正满意的看着刚种完的田地	Looks at the planted field with satisfaction
当前天气变化为指定的天气	Change weather into a specific one.
这种东西我们并不需要。	We do not need it.
应天台的光芒黯淡了下来\n（正在凝聚灵石）	Light on the Heaven Echo Altar faded.\n(Crystallizing Spirit Stones)
{0}倍速\n[keycode]SpeedP[/keycode]  降低速度\n[keycode]SpeedN[/keycode]  提升速度	{0}x Speed\n[keycode]SpeedP[/keycode] Lower Speed\n[keycode]SpeedN[/keycode] Raise Speed
感知列表	List of Perceptions
喝东西时好像在思考什么，一脸凝重	Drinking while thinking about something; feels solemn
贪婪	Greedy
材料不足	Insufficient materials
拾取一个物品，注意这可能会惹别人生气。	Pick up an item. It might anger other people.
性别:{0}	Gender: {0}
道具	Item
已领悟\n	Learned\n
山寨	Fortress
元神	Primordial Spirit
余{0}次	{0} times
请选择一个认知思绪	Select a Realization Thought.
仅外门	Only Outer Disciples
破乾坤	Universe Burst
该角色正忙	This character is occupied.
尚未解锁	Locked
 或 	 or 
<font color=#888888>(无风水)</font>	<font color=#888888>(No Feng Shui)</font>
异变消散	Mutation dissipated
观礼	Attend Ceremonies
地形	Terrain
装备	Gear
存档并进入	Save and enter
[color=#880000](未激活)[/color]	[color=#880000](Inactive)[/color]
拆除这个建筑。	Demolish this structure.
神秘符咒	Mysterious Talisman
在练习护体时突然走神	Undertakes protection training; daydreaming
将物品的一个单位放置到置物台上。	Place one item on the Display.
空白	Blank
仓库\n该地每日产出和寻觅珍宝所都都会放在这里，满了则无法再获取内容。{0}	Storage\nThe production and treasures found each day will be stored here. It cannot contain any other contents once full.{0}
该评论中包含敏感词汇	This comment contains censored words.
网络状态异常,即将退出游戏	Network status abnormal, exiting the game soon
安装建筑	Erecting buildings
高帧率	High FPS
信仰值	Belief
[{0}]瓶颈已突破	[{0}] has been broken through.
零	Zero
敌方	Enemies
蕴养	Nurture
灵宠	Pet
突破时时节对突破成功率的影响。\n春属木，夏属火，秋属金，冬属水，土属性则在每季末尾最佳。	The season affects the success rate of breakthroughs.\nSpring means Wood, summer means Fire, autumn means Metal and winter means Water. Earth will have the best effect at the end of each season.
自然与环境	Nature & Environment
正满意的看着自己刚刚安装的建筑	Looking at the building just erected with satisfaction
将这个筑基成功的弟子晋升到内门	This disciple have been successful in establishing their foundation. Promote them to inner disciple.
[{0}]数量不足!	Not enough [{0}]!
脚本回调	Script Callback
角色入玄失败，请重新尝试	Heaven link failed, try again.
强	Strong
PayMgr-> 找不到ID为{0}商品中产品ID:{1}的商品信息	PayMgr-> Cannot find product information for ID {0} with product ID: {1}
开采	Mine
该角色不能作为目标	This character cannot be targeted.
房间温度\n室内的当前温度	Room Temperature\nThe current temperature in the room.
普通物品	Common
被角色的灵性影响无法转换阵营。	Unable to turn due to character's blessing.
各门派赈灾情况：{0}	Relief Funds of All Sects: {0}
取消指定	Cancel selection
无滤镜	No filters
捕获	Catch
点击订阅	Subscribe
翩然起舞	Begin to Dance
[color=#FFFF00]节点激活条件[/color]	[color=#FFFF00]Node Activation Requirements[/color]
攻击命中\n尝试使用此秘体进攻时的成功几率。	Attack Accuracy\nThe chance of success when attempting to use this Secret Body to attack.
昏暗	Dim
本地轮回者	Local Reincarnator
请在此激活下载的模组，激活的模组才会在游戏中实际生效。	Activate downloaded mods here to enable them in the actual game.
{0} 中含有来自模组的建筑或物品	{0} have buildings or items from mods.
范围：{0}	Range: {0}
设置	Settings
灵气浓度	Qi Density
时长:{2}\n消耗寿元:{0:N0}/{1:N0}   消耗精元：{5}{3:N0}{6}/{4:N0}	Duration: {2}\nLifespan Cost: {0:N0}/{1:N0} Stamina Cost: {5}{3:N0}{6}/{4:N0}
法宝炼制	Artifact Crafting
